commune_label,commune_norm,commune_label_title
DANJOUTIN,danjoutin,Danjoutin
DANNEMARIE,dannemarie,Dannemarie
DANNEMARIE-SUR-CRETE,dannemarie sur crete,Dannemarie-sur-crete
DARCEY,darcey,Darcey
DARDILLY,dardilly,Dardilly
DARNETAL,darnetal,Darnetal
DASLE,dasle,Dasle
DAX,dax,Dax
DECINES-CHARPIEU,decines charpieu,Decines-charpieu
DECIZE,decize,Decize
DEGAGNAC,degagnac,Degagnac
DEINVILLERS,deinvillers,Deinvillers
DELLE,delle,Delle
DELUZ,deluz,Deluz
DEMANGEVELLE,demangevelle,Demangevelle
DENAIN,denain,Denain
DENNEVY,dennevy,Dennevy
DERCY,dercy,Dercy
DESCARTES,descartes,Descartes
DESVRES,desvres,Desvres
DETTWILLER,dettwiller,Dettwiller
DEUIL-LA-BARRE,deuil la barre,Deuil-la-barre
DEUX RIVIERES,deux rivieres,Deux Rivieres
DEVECEY,devecey,Devecey
DEVILLE,deville,Deville
DEVROUZE,devrouze,Devrouze
DEYCIMONT,deycimont,Deycimont
DHUYS ET MORIN-EN-BRIE,dhuys et morin en brie,Dhuys Et Morin-en-brie
DIE,die,Die
DIEBLING,diebling,Diebling
DIEMERINGEN,diemeringen,Diemeringen
DIENVILLE,dienville,Dienville
DIEPPE,dieppe,Dieppe
DIERRE,dierre,Dierre
DIEULOUARD,dieulouard,Dieulouard
DIEUPENTALE,dieupentale,Dieupentale
DIEUZE,dieuze,Dieuze
DIGNE-LES-BAINS,digne les bains,Digne-les-bains
DIGOIN,digoin,Digoin
DIJON,dijon,Dijon
DINAN,dinan,Dinan
DINGE,dinge,Dinge
DIOU,diou,Diou
DIROL,dirol,Dirol
DISSAY,dissay,Dissay
DISSAY-SOUS-COURCILLON,dissay sous courcillon,Dissay-sous-courcillon
DISTROFF,distroff,Distroff
DIVES-SUR-MER,dives sur mer,Dives-sur-mer
DIVONNE-LES-BAINS,divonne les bains,Divonne-les-bains
DOINGT,doingt,Doingt
DOL-DE-BRETAGNE,dol de bretagne,Dol-de-bretagne
DOLE,dole,Dole
DOMBASLE-EN-ARGONNE,dombasle en argonne,Dombasle-en-argonne
DOMBASLE-SUR-MEURTHE,dombasle sur meurthe,Dombasle-sur-meurthe
DOMBLANS,domblans,Domblans
DOMENE,domene,Domene
DOMERAT,domerat,Domerat
DOMESSIN,domessin,Domessin
DOMFESSEL,domfessel,Domfessel
DOMFRONT,domfront,Domfront
DOMFRONT-EN-CHAMPAGNE,domfront en champagne,Domfront-en-champagne
DOMFRONT EN POIRAIE,domfront en poiraie,Domfront En Poiraie
DOMGERMAIN,domgermain,Domgermain
DOMMARTIN,dommartin,Dommartin
DOMMARTIN-LE-FRANC,dommartin le franc,Dommartin-le-franc
DOMMARTIN-LE-SAINT-PERE,dommartin le saint pere,Dommartin-le-saint-pere
DOMMARTIN-LES-CUISEAUX,dommartin les cuiseaux,Dommartin-les-cuiseaux
DOMMARY-BARONCOURT,dommary baroncourt,Dommary-baroncourt
DOMONT,domont,Domont
DOMPIERRE-SUR-BESBRE,dompierre sur besbre,Dompierre-sur-besbre
DOMPIERRE-SUR-HELPE,dompierre sur helpe,Dompierre-sur-helpe
DOMPIERRE-SUR-MER,dompierre sur mer,Dompierre-sur-mer
DONCHERY,donchery,Donchery
DONGES,donges,Donges
DONJEUX,donjeux,Donjeux
DONNAZAC,donnazac,Donnazac
DONNERY,donnery,Donnery
DONTRIEN,dontrien,Dontrien
DONZENAC,donzenac,Donzenac
DONZERE,donzere,Donzere
DORDIVES,dordives,Dordives
DORLISHEIM,dorlisheim,Dorlisheim
DORMANS,dormans,Dormans
DOUAI,douai,Douai
DOUCHY-MONTCORBON,douchy montcorbon,Douchy-montcorbon
DOULCON,doulcon,Doulcon
DOULEVANT-LE-CHATEAU,doulevant le chateau,Doulevant-le-chateau
DOUNOUX,dounoux,Dounoux
DOURDAN,dourdan,Dourdan
DOURGES,dourges,Dourges
DOUSSARD,doussard,Doussard
DOUZILLAC,douzillac,Douzillac
DOUZY,douzy,Douzy
DOYET,doyet,Doyet
DRACY,dracy,Dracy
DRACY-SAINT-LOUP,dracy saint loup,Dracy-saint-loup
DRAGUIGNAN,draguignan,Draguignan
DRAIZE,draize,Draize
DRANCY,drancy,Drancy
DRAP,drap,Drap
DREFFEAC,dreffeac,Dreffeac
DREUIL-LES-AMIENS,dreuil les amiens,Dreuil-les-amiens
DREUX,dreux,Dreux
DROUE,droue,Droue
DRUGEAC,drugeac,Drugeac
DRULINGEN,drulingen,Drulingen
DRUSENHEIM,drusenheim,Drusenheim
DRUYE,druye,Druye
DUAULT,duault,Duault
DUCLAIR,duclair,Duclair
DUGNY-SUR-MEUSE,dugny sur meuse,Dugny-sur-meuse
DUISANS,duisans,Duisans
DUNIERES,dunieres,Dunieres
DUNKERQUE,dunkerque,Dunkerque
DUPPIGHEIM,duppigheim,Duppigheim
DURBANS,durbans,Durbans
DURTOL,durtol,Durtol
DUVY,duvy,Duvy
DYO,dyo,Dyo
EAUZE,eauze,Eauze
EBBLINGHEM,ebblinghem,Ebblinghem
EBERSHEIM,ebersheim,Ebersheim
EBERSVILLER,ebersviller,Ebersviller
ECHAUFFOUR,echauffour,Echauffour
ECHENEVEX,echenevex,Echenevex
ECHIRE,echire,Echire
ECHIROLLES,echirolles,Echirolles
ECKWERSHEIM,eckwersheim,Eckwersheim
ECLARON-BRAUCOURT-SAINTE-LIVIERE,eclaron braucourt sainte liviere,Eclaron-braucourt-sainte-liviere
ECOLE-VALENTIN,ecole valentin,Ecole-valentin
ECOMMOY,ecommoy,Ecommoy
ECOUCHE-LES-VALLEES,ecouche les vallees,Ecouche-les-vallees
ECOUFLANT,ecouflant,Ecouflant
ECOUVES,ecouves,Ecouves
ECUEILLE,ecueille,Ecueille
ECUISSES,ecuisses,Ecuisses
ECULLY,ecully,Ecully
EGLETONS,egletons,Egletons
EGLY,egly,Egly
EGUELSHARDT,eguelshardt,Eguelshardt
EGUISHEIM,eguisheim,Eguisheim
EGUZON-CHANTOME,eguzon chantome,Eguzon-chantome
EICHHOFFEN,eichhoffen,Eichhoffen
EINVAUX,einvaux,Einvaux
ELBEUF,elbeuf,Elbeuf
ELNE,elne,Elne
ELOYES,eloyes,Eloyes
ELVEN,elven,Elven
EMAGNY,emagny,Emagny
EMBERMENIL,embermenil,Embermenil
EMBRUN,embrun,Embrun
EMERAINVILLE,emerainville,Emerainville
ENCHENBERG,enchenberg,Enchenberg
ENGENVILLE,engenville,Engenville
ENGHIEN-LES-BAINS,enghien les bains,Enghien-les-bains
ENNEZAT,ennezat,Ennezat
ENSISHEIM,ensisheim,Ensisheim
ENSUES-LA-REDONNE,ensues la redonne,Ensues-la-redonne
ENTRAIGUES-SUR-LA-SORGUE,entraigues sur la sorgue,Entraigues-sur-la-sorgue
ENTRAINS-SUR-NOHAIN,entrains sur nohain,Entrains-sur-nohain
ENTRELACS,entrelacs,Entrelacs
ENTZHEIM,entzheim,Entzheim
ENVEITG,enveitg,Enveitg
ENVERMEU,envermeu,Envermeu
EOLE-EN-BEAUCE,eole en beauce,Eole-en-beauce
EPEHY,epehy,Epehy
EPERLECQUES,eperlecques,Eperlecques
EPERNAY,epernay,Epernay
EPERNON,epernon,Epernon
EPFIG,epfig,Epfig
EPIERRE,epierre,Epierre
EPINAL,epinal,Epinal
EPINAY-SUR-ORGE,epinay sur orge,Epinay-sur-orge
EPINAY-SUR-SEINE,epinay sur seine,Epinay-sur-seine
EPINOUZE,epinouze,Epinouze
EPIRY,epiry,Epiry
EPOISSES,epoisses,Epoisses
EPOUVILLE,epouville,Epouville
ERAGNY,eragny,Eragny
ERAGNY-SUR-EPTE,eragny sur epte,Eragny-sur-epte
ERMONT,ermont,Ermont
ERNEVILLE-AUX-BOIS,erneville aux bois,Erneville-aux-bois
ERR,err,Err
ERSTEIN,erstein,Erstein
ERVY-LE-CHATEL,ervy le chatel,Ervy-le-chatel
ESBLY,esbly,Esbly
ESCALQUENS,escalquens,Escalquens
ESCAUDAIN,escaudain,Escaudain
ESCAUDŒUVRES,escaudœuvres,Escaudœuvres
ESCHES,esches,Esches
ESCLANEDES,esclanedes,Esclanedes
ESCORNEBŒUF,escornebœuf,Escornebœuf
ESCOU,escou,Escou
ESLETTES,eslettes,Eslettes
ESPERAZA,esperaza,Esperaza
ESPIRA-DE-L'AGLY,espira de l'agly,Espira-de-l'agly
ESPONDEILHAN,espondeilhan,Espondeilhan
ESPRELS,esprels,Esprels
ESQUELBECQ,esquelbecq,Esquelbecq
ESSERTENNE,essertenne,Essertenne
ESSERTENNE-ET-CECEY,essertenne et cecey,Essertenne-et-cecey
ESSEY-ET-MAIZERAIS,essey et maizerais,Essey-et-maizerais
ESSIGNY-LE-GRAND,essigny le grand,Essigny-le-grand
ESSIGNY-LE-PETIT,essigny le petit,Essigny-le-petit
ESSOUVERT,essouvert,Essouvert
ESTAGEL,estagel,Estagel
ESTAVAR,estavar,Estavar
ESTERNAY,esternay,Esternay
ESTISSAC,estissac,Estissac
ESTIVAUX,estivaux,Estivaux
ESTREES-DENIECOURT,estrees deniecourt,Estrees-deniecourt
ESTREES-SAINT-DENIS,estrees saint denis,Estrees-saint-denis
ESVRES,esvres,Esvres
ETAIN,etain,Etain
ETAINHUS,etainhus,Etainhus
ETAIS-LA-SAUVIN,etais la sauvin,Etais-la-sauvin
ETALANS,etalans,Etalans
ETAMPES,etampes,Etampes
ETANG-SUR-ARROUX,etang sur arroux,Etang-sur-arroux
ETAPLES,etaples,Etaples
ETAULE,etaule,Etaule
ETERPIGNY,eterpigny,Eterpigny
ETIGNY,etigny,Etigny
ETIVAL-CLAIREFONTAINE,etival clairefontaine,Etival-clairefontaine
ETOILE-SUR-RHONE,etoile sur rhone,Etoile-sur-rhone
ETRECHY,etrechy,Etrechy
ETREMBIERES,etrembieres,Etrembieres
ETREPAGNY,etrepagny,Etrepagny
ETREUX,etreux,Etreux
ETRICHE,etriche,Etriche
ETTENDORF,ettendorf,Ettendorf
EU,eu,Eu
EURVILLE-BIENVILLE,eurville bienville,Eurville-bienville
EVAUX-LES-BAINS,evaux les bains,Evaux-les-bains
EVERGNICOURT,evergnicourt,Evergnicourt
EVETTE-SALBERT,evette salbert,Evette-salbert
EVEUX,eveux,Eveux
EVIAN-LES-BAINS,evian les bains,Evian-les-bains
EVREUX,evreux,Evreux
EVRON,evron,Evron
EVRY-COURCOURONNES,evry courcouronnes,Evry-courcouronnes
EXCIDEUIL,excideuil,Excideuil
EXIDEUIL-SUR-VIENNE,exideuil sur vienne,Exideuil-sur-vienne
EYGLIERS,eygliers,Eygliers
EYMOUTIERS,eymoutiers,Eymoutiers
EYREIN,eyrein,Eyrein
EZANVILLE,ezanville,Ezanville
EZE,eze,Eze
FABREGUES,fabregues,Fabregues
FAIN-LES-MONTBARD,fain les montbard,Fain-les-montbard
FALCK,falck,Falck
FALLETANS,falletans,Falletans
FAMARS,famars,Famars
FAMECHON,famechon,Famechon
FARBUS,farbus,Farbus
FAREBERSVILLER,farebersviller,Farebersviller
FARGES,farges,Farges
FARGES-ALLICHAMPS,farges allichamps,Farges-allichamps
FARSCHVILLER,farschviller,Farschviller
FAUGERES,faugeres,Faugeres
FAUGUEROLLES,fauguerolles,Fauguerolles
FAULQUEMONT,faulquemont,Faulquemont
FAVERGES-SEYTHENEX,faverges seythenex,Faverges-seythenex
FAVERNEY,faverney,Faverney
FAVEROLLES,faverolles,Faverolles
FAY-AUX-LOGES,fay aux loges,Fay-aux-loges
FAYL-BILLOT,fayl billot,Fayl-billot
FECAMP,fecamp,Fecamp
FEIGNIES,feignies,Feignies
FELLERING,fellering,Fellering
FELLETIN,felletin,Felletin
FENERY,fenery,Fenery
FENETRANGE,fenetrange,Fenetrange
FENOUILLET,fenouillet,Fenouillet
FEPIN,fepin,Fepin
FERE-CHAMPENOISE,fere champenoise,Fere-champenoise
FERE-EN-TARDENOIS,fere en tardenois,Fere-en-tardenois
FERRIERE-LA-GRANDE,ferriere la grande,Ferriere-la-grande
FERRIERES-EN-BRAY,ferrieres en bray,Ferrieres-en-bray
FERRIERES-SAINT-MARY,ferrieres saint mary,Ferrieres-saint-mary
FESCAMPS,fescamps,Fescamps
FEUGUEROLLES-BULLY,feuguerolles bully,Feuguerolles-bully
FEUQUIERES,feuquieres,Feuquieres
FEUQUIERES-EN-VIMEU,feuquieres en vimeu,Feuquieres-en-vimeu
FEURS,feurs,Feurs
FEYT,feyt,Feyt
FEYZIN,feyzin,Feyzin
FIAC,fiac,Fiac
FIERVILLE-LES-PARCS,fierville les parcs,Fierville-les-parcs
FIGEAC,figeac,Figeac
FILLIERE,filliere,Filliere
FIRMINY,firminy,Firminy
FISMES,fismes,Fismes
FITOU,fitou,Fitou
FLAVY-LE-MARTEL,flavy le martel,Flavy-le-martel
FLEAC-SUR-SEUGNE,fleac sur seugne,Fleac-sur-seugne
FLEE,flee,Flee
FLERE-LA-RIVIERE,flere la riviere,Flere-la-riviere
FLERS,flers,Flers
FLERS-EN-ESCREBIEUX,flers en escrebieux,Flers-en-escrebieux
FLESSELLES,flesselles,Flesselles
FLEURANCE,fleurance,Fleurance
FLEURE,fleure,Fleure
FLEURIEU-SUR-SAONE,fleurieu sur saone,Fleurieu-sur-saone
FLEURIEUX-SUR-L'ARBRESLE,fleurieux sur l'arbresle,Fleurieux-sur-l'arbresle
FLEURVILLE,fleurville,Fleurville
FLEURY-LES-AUBRAIS,fleury les aubrais,Fleury-les-aubrais
FLEURY-SUR-ANDELLE,fleury sur andelle,Fleury-sur-andelle
FLIN,flin,Flin
FLIXECOURT,flixecourt,Flixecourt
FLOGNY-LA-CHAPELLE,flogny la chapelle,Flogny-la-chapelle
FLOIRAC,floirac,Floirac
FLORANGE,florange,Florange
FLOURE,floure,Floure
FOECY,foecy,Foecy
FOIX,foix,Foix
FOLEMBRAY,folembray,Folembray
FOLLIGNY,folligny,Folligny
FONDAMENTE,fondamente,Fondamente
FONDETTES,fondettes,Fondettes
FONS,fons,Fons
FONT-ROMEU-ODEILLO-VIA,font romeu odeillo via,Font-romeu-odeillo-via
FONTAINE-LE-PORT,fontaine le port,Fontaine-le-port
FONTAINE-SIMON,fontaine simon,Fontaine-simon
FONTAINE-SOUS-PREAUX,fontaine sous preaux,Fontaine-sous-preaux
FONTAINE-SUR-SOMME,fontaine sur somme,Fontaine-sur-somme
FONTAINEBLEAU,fontainebleau,Fontainebleau
FONTAINES,fontaines,Fontaines
FONTAINES-D'OZILLAC,fontaines d'ozillac,Fontaines-d'ozillac
FONTAINES-SUR-SAONE,fontaines sur saone,Fontaines-sur-saone
FONTAN,fontan,Fontan
FONTANES,fontanes,Fontanes
FONTANNES,fontannes,Fontannes
FONTCOUVERTE,fontcouverte,Fontcouverte
FONTENAY-LE-COMTE,fontenay le comte,Fontenay-le-comte
FONTENAY-LE-FLEURY,fontenay le fleury,Fontenay-le-fleury
FONTENAY-LE-VICOMTE,fontenay le vicomte,Fontenay-le-vicomte
FONTENAY-SOUS-BOIS,fontenay sous bois,Fontenay-sous-bois
FONTENAY-SUR-LOING,fontenay sur loing,Fontenay-sur-loing
FONTENOIS-LES-MONTBOZON,fontenois les montbozon,Fontenois-les-montbozon
FONTENOY-SUR-MOSELLE,fontenoy sur moselle,Fontenoy-sur-moselle
FONTOY,fontoy,Fontoy
FONTPEDROUSE,fontpedrouse,Fontpedrouse
FONTVANNES,fontvannes,Fontvannes
FORBACH,forbach,Forbach
FORCALQUEIRET,forcalqueiret,Forcalqueiret
FORCELLES-SAINT-GORGON,forcelles saint gorgon,Forcelles-saint-gorgon
FORGES,forges,Forges
FORGES-LES-EAUX,forges les eaux,Forges-les-eaux
FORGES-SUR-MEUSE,forges sur meuse,Forges-sur-meuse
FORMERIE,formerie,Formerie
FORS,fors,Fors
FOS-SUR-MER,fos sur mer,Fos-sur-mer
FOSSES,fosses,Fosses
FOUCART,foucart,Foucart
FOUCHERANS,foucherans,Foucherans
FOUCHERES,foucheres,Foucheres
FOUDAY,fouday,Fouday
FOUG,foug,Foug
FOUGERE,fougere,Fougere
FOUGERES,fougeres,Fougeres
FOUGEROLLES-SAINT-VALBERT,fougerolles saint valbert,Fougerolles-saint-valbert
FOUILLOY,fouilloy,Fouilloy
FOULAIN,foulain,Foulain
FOUQUENIES,fouquenies,Fouquenies
FOUQUEREUIL,fouquereuil,Fouquereuil
FOUQUIERES-LES-LENS,fouquieres les lens,Fouquieres-les-lens
FOURCHAMBAULT,fourchambault,Fourchambault
FOURDRAIN,fourdrain,Fourdrain
FOURMIES,fourmies,Fourmies
FOURS,fours,Fours
FRAISSES,fraisses,Fraisses
FRAIZE,fraize,Fraize
FRANCHEVILLE,francheville,Francheville
FRANCONVILLE,franconville,Franconville
FRANOIS,franois,Franois
FRANSART,fransart,Fransart
FRANXAULT,franxault,Franxault
FRASNE,frasne,Frasne
FREISTROFF,freistroff,Freistroff
FREJUS,frejus,Frejus
FREMIFONTAINE,fremifontaine,Fremifontaine
FRENELLE-LA-GRANDE,frenelle la grande,Frenelle-la-grande
FRENEY,freney,Freney
FRENOUVILLE,frenouville,Frenouville
FREPILLON,frepillon,Frepillon
FRESNAY-SUR-SARTHE,fresnay sur sarthe,Fresnay-sur-sarthe
FRESNE-LA-MERE,fresne la mere,Fresne-la-mere
FRESNE-SAINT-MAMES,fresne saint mames,Fresne-saint-mames
FRESNOY-LE-GRAND,fresnoy le grand,Fresnoy-le-grand
FRESNOY-LES-ROYE,fresnoy les roye,Fresnoy-les-roye
FRESSIES,fressies,Fressies
FRESVILLE,fresville,Fresville
FRETERIVE,freterive,Freterive
FRETEVAL,freteval,Freteval
FRETHUN,frethun,Frethun
FRETIN,fretin,Fretin
FREVIN-CAPELLE,frevin capelle,Frevin-capelle
FREYMING-MERLEBACH,freyming merlebach,Freyming-merlebach
FROBERVILLE,froberville,Froberville
FROHMUHL,frohmuhl,Frohmuhl
FROMENTAL,fromental,Fromental
FROMY,fromy,Fromy
FRONCLES,froncles,Froncles
FRONSAC,fronsac,Fronsac
FRONTENAUD,frontenaud,Frontenaud
FRONTENAY-ROHAN-ROHAN,frontenay rohan rohan,Frontenay-rohan-rohan
FRONTENEX,frontenex,Frontenex
FRONTIGNAN,frontignan,Frontignan
FRONVILLE,fronville,Fronville
FROUARD,frouard,Frouard
FRUGIERES-LE-PIN,frugieres le pin,Frugieres-le-pin
FUILLA,fuilla,Fuilla
FUMAY,fumay,Fumay
FUMEL,fumel,Fumel
FURIANI,furiani,Furiani
FUVEAU,fuveau,Fuveau
GAEL,gael,Gael
GAGNAC-SUR-CERE,gagnac sur cere,Gagnac-sur-cere
GAGNY,gagny,Gagny
GAILLAC,gaillac,Gaillac
GAILLAC-D'AVEYRON,gaillac d'aveyron,Gaillac-d'aveyron
GAILLAN-EN-MEDOC,gaillan en medoc,Gaillan-en-medoc
GALLARGUES-LE-MONTUEUX,gallargues le montueux,Gallargues-le-montueux
GAMARDE-LES-BAINS,gamarde les bains,Gamarde-les-bains
GAMBSHEIM,gambsheim,Gambsheim
GAN,gan,Gan
GANCOURT-SAINT-ETIENNE,gancourt saint etienne,Gancourt-saint-etienne
GANNAT,gannat,Gannat
GANNES,gannes,Gannes
GAP,gap,Gap
GARANCIERES,garancieres,Garancieres
GARANOU,garanou,Garanou
GARCHES,garches,Garches
GARCHIZY,garchizy,Garchizy
GARDANNE,gardanne,Gardanne
GARDE-COLOMBE,garde colombe,Garde-colombe
GARDONNE,gardonne,Gardonne
GARGENVILLE,gargenville,Gargenville
GARGES-LES-GONESSE,garges les gonesse,Garges-les-gonesse
GARNAY,garnay,Garnay
GASVILLE-OISEME,gasville oiseme,Gasville-oiseme
GAURIAGUET,gauriaguet,Gauriaguet
GAZERAN,gazeran,Gazeran
GEISPOLSHEIM,geispolsheim,Geispolsheim
GELLES,gelles,Gelles
GEMEAUX,gemeaux,Gemeaux
GEMOZAC,gemozac,Gemozac
GENAY,genay,Genay
GENECH,genech,Genech
GENELARD,genelard,Genelard
GENERAC,generac,Generac
GENEVREUILLE,genevreuille,Genevreuille
GENLIS,genlis,Genlis
GENNES-LONGUEFUYE,gennes longuefuye,Gennes-longuefuye
GENNES-VAL-DE-LOIRE,gennes val de loire,Gennes-val-de-loire
GENNEVILLIERS,gennevilliers,Gennevilliers
GENOLHAC,genolhac,Genolhac
GENSAC-LA-PALLUE,gensac la pallue,Gensac-la-pallue
GERARDMER,gerardmer,Gerardmer
GERBEVILLER,gerbeviller,Gerbeviller
GERGY,gergy,Gergy
GERMAINE,germaine,Germaine
GERTWILLER,gertwiller,Gertwiller
GERZAT,gerzat,Gerzat
GESTEL,gestel,Gestel
GEVINGEY,gevingey,Gevingey
GEVREY-CHAMBERTIN,gevrey chambertin,Gevrey-chambertin
GEX,gex,Gex
GEZAINCOURT,gezaincourt,Gezaincourt
GIAT,giat,Giat
GIEN,gien,Gien
GIERES,gieres,Gieres
GIEVRES,gievres,Gievres
GIF-SUR-YVETTE,gif sur yvette,Gif-sur-yvette
GIGNAC,gignac,Gignac
GILLEY,gilley,Gilley
GILLY-LES-CITEAUX,gilly les citeaux,Gilly-les-citeaux
GILLY-SUR-ISERE,gilly sur isere,Gilly-sur-isere
GILLY-SUR-LOIRE,gilly sur loire,Gilly-sur-loire
GIMEL-LES-CASCADES,gimel les cascades,Gimel-les-cascades
GIMONT,gimont,Gimont
GIMOUILLE,gimouille,Gimouille
GIRAUMONT,giraumont,Giraumont
GIROMAGNY,giromagny,Giromagny
GIRONCOURT-SUR-VRAINE,gironcourt sur vraine,Gironcourt-sur-vraine
GIRONDE-SUR-DROPT,gironde sur dropt,Gironde-sur-dropt
GISORS,gisors,Gisors
GIVET,givet,Givet
GIVORS,givors,Givors
GIVRY,givry,Givry
GIZY,gizy,Gizy
GLAGEON,glageon,Glageon
GLOS-SUR-RISLE,glos sur risle,Glos-sur-risle
GODERVILLE,goderville,Goderville
GOLFECH,golfech,Golfech
GOMMEGNIES,gommegnies,Gommegnies
GONCELIN,goncelin,Goncelin
GONDRECOURT-AIX,gondrecourt aix,Gondrecourt-aix
GONDRECOURT-LE-CHATEAU,gondrecourt le chateau,Gondrecourt-le-chateau
GONDREXANGE,gondrexange,Gondrexange
GONFARON,gonfaron,Gonfaron
GORGES,gorges,Gorges
GOUAIX,gouaix,Gouaix
GOUHENANS,gouhenans,Gouhenans
GOURCHELLES,gourchelles,Gourchelles
GOURDAN-POLIGNAN,gourdan polignan,Gourdan-polignan
GOURDON,gourdon,Gourdon
GOURGE,gourge,Gourge
GOUSSAINVILLE,goussainville,Goussainville
GOUTTIERES,gouttieres,Gouttieres
GOXWILLER,goxwiller,Goxwiller
GRACES,graces,Graces
GRAGNAGUE,gragnague,Gragnague
GRAINVILLE-LA-TEINTURIERE,grainville la teinturiere,Grainville-la-teinturiere
GRAINVILLE-YMAUVILLE,grainville ymauville,Grainville-ymauville
GRAMAT,gramat,Gramat
GRANCEY-LE-CHATEAU-NEUVELLE,grancey le chateau neuvelle,Grancey-le-chateau-neuvelle
GRAND-AIGUEBLANCHE,grand aigueblanche,Grand-aigueblanche
GRAND BOURGTHEROULDE,grand bourgtheroulde,Grand Bourgtheroulde
GRAND-COURONNE,grand couronne,Grand-couronne
GRAND-VERLY,grand verly,Grand-verly
GRAND'COMBE-CHATELEU,grand'combe chateleu,Grand'combe-chateleu
GRANDE-SYNTHE,grande synthe,Grande-synthe
GRANDPUITS-BAILLY-CARROIS,grandpuits bailly carrois,Grandpuits-bailly-carrois
GRANDVILLARS,grandvillars,Grandvillars
GRANDVILLIERS,grandvilliers,Grandvilliers
GRANGES-AUMONTZEY,granges aumontzey,Granges-aumontzey
GRANGES-NARBOZ,granges narboz,Granges-narboz
GRANS,grans,Grans
GRANVILLE,granville,Granville
GRATTERY,grattery,Grattery
GRAVELINES,gravelines,Gravelines
GRAVESON,graveson,Graveson
GRAVIGNY,gravigny,Gravigny
GREMONVILLE,gremonville,Gremonville
GRENADE-SUR-L'ADOUR,grenade sur l'adour,Grenade-sur-l'adour
GRENAY,grenay,Grenay
GRENOBLE,grenoble,Grenoble
GRESSWILLER,gresswiller,Gresswiller
GRESY-SUR-AIX,gresy sur aix,Gresy-sur-aix
GRESY-SUR-ISERE,gresy sur isere,Gresy-sur-isere
GRETZ-ARMAINVILLIERS,gretz armainvilliers,Gretz-armainvilliers
GREZ-EN-BOUERE,grez en bouere,Grez-en-bouere
GRIESBACH-AU-VAL,griesbach au val,Griesbach-au-val
GRIGNY,grigny,Grigny
GRILLY,grilly,Grilly
GRISOLLES,grisolles,Grisolles
GRIVILLERS,grivillers,Grivillers
GROISY,groisy,Groisy
GROSLAY,groslay,Groslay
GROZON,grozon,Grozon
GRUSON,gruson,Gruson
GUAINVILLE,guainville,Guainville
GUDMONT-VILLIERS,gudmont villiers,Gudmont-villiers
GUEBLING,guebling,Guebling
GUEBWILLER,guebwiller,Guebwiller
GUEMAR,guemar,Guemar
GUEMENE-PENFAO,guemene penfao,Guemene-penfao
GUERANDE,guerande,Guerande
GUERARD,guerard,Guerard
GUERET,gueret,Gueret
GUERIGNY,guerigny,Guerigny
GUERSTLING,guerstling,Guerstling
GUETHARY,guethary,Guethary
GUEURES,gueures,Gueures
GUEWENHEIM,guewenheim,Guewenheim
GUICHEN,guichen,Guichen
GUILLAUCOURT,guillaucourt,Guillaucourt
GUILLERVAL,guillerval,Guillerval
GUILLON-TERRE-PLAINE,guillon terre plaine,Guillon-terre-plaine
GUIMILIAU,guimiliau,Guimiliau
GUINGAMP,guingamp,Guingamp
GUIPRY-MESSAC,guipry messac,Guipry-messac
GUISE,guise,Guise
GUITRES,guitres,Guitres
GUNDERSHOFFEN,gundershoffen,Gundershoffen
GURGY,gurgy,Gurgy
GURMENCON,gurmencon,Gurmencon
GYE-SUR-SEINE,gye sur seine,Gye-sur-seine
HABSHEIM,habsheim,Habsheim
HAEGEN,haegen,Haegen
HAGETMAU,hagetmau,Hagetmau
HAGONDANGE,hagondange,Hagondange
HAGUENAU,haguenau,Haguenau
HALLU,hallu,Hallu
HALLUIN,halluin,Halluin
HALSOU,halsou,Halsou
HAM-EN-ARTOIS,ham en artois,Ham-en-artois
HAMBACH,hambach,Hambach
HANGEST-SUR-SOMME,hangest sur somme,Hangest-sur-somme
HANVEC,hanvec,Hanvec
HARCANVILLE,harcanville,Harcanville
HARDENCOURT-COCHEREL,hardencourt cocherel,Hardencourt-cocherel
HARDRICOURT,hardricourt,Hardricourt
HAREVILLE,hareville,Hareville
HARFLEUR,harfleur,Harfleur
HARREVILLE-LES-CHANTEURS,harreville les chanteurs,Harreville-les-chanteurs
HATRIZE,hatrize,Hatrize
HAUBOURDIN,haubourdin,Haubourdin
HAULCHIN,haulchin,Haulchin
HAUSSEZ,haussez,Haussez
HAUSSIGNEMONT,haussignemont,Haussignemont
HAUT-MAUCO,haut mauco,Haut-mauco
HAUTE-AMANCE,haute amance,Haute-amance
HAUTEFAGE-LA-TOUR,hautefage la tour,Hautefage-la-tour
HAUTERIVE,hauterive,Hauterive
HAUTEVILLE-SUR-FIER,hauteville sur fier,Hauteville-sur-fier
HAUTMONT,hautmont,Hautmont
HAUTOT-SUR-MER,hautot sur mer,Hautot-sur-mer
HAUTS DE BIENNE,hauts de bienne,Hauts De Bienne
HAYANGE,hayange,Hayange
HAYBES,haybes,Haybes
HAZEBROUCK,hazebrouck,Hazebrouck
HEBERVILLE,heberville,Heberville
HECHES,heches,Heches
HEILLES,heilles,Heilles
HEILLY,heilly,Heilly
HEMING,heming,Heming
HEMONSTOIR,hemonstoir,Hemonstoir
HENDAYE,hendaye,Hendaye
HENIN-BEAUMONT,henin beaumont,Henin-beaumont
HENNEBONT,hennebont,Hennebont
HENVIC,henvic,Henvic
